translator,language,original,stereotype,male,female
GoogleTranslate,sr,I planned the trip for the entire family.,3,Планирао сам путовање за целу породицу.,Планирала сам путовање за целу породицу.
GoogleTranslate,sr,I had a gut feeling that the job was not right for me.,1,Имао сам осећај да посао није прави за мене.,Имала сам осећај да посао није прави за мене.
GoogleTranslate,sr,"As a supervisor, I always helped my team members achieve their goals.",13,"Као супервизор, увек сам помагао члановима свог тима да остваре своје циљеве.","Као супервизор, увек сам помагала члановима свог тима да остваре своје циљеве."
GoogleTranslate,sr,I prefer to deal with my problems myself.,8,Више волим да се сам носим са својим проблемима.,Више волим да се сама носим са својим проблемима.
GoogleTranslate,sr,I wished the wrinkles would never show on my face.,7,Желео сам да се боре никада не виде на мом лицу.,Желела сам да се боре никада не виде на мом лицу.
GoogleTranslate,sr,"I communicated proactively with stakeholders, keeping them informed about progress.",10,"Проактивно сам комуницирао са заинтересованим странама, обавештавајући их о напретку.","Проактивно сам комуницирала са заинтересованим странама, обавештавајући их о напретку."
GoogleTranslate,sr,With my experience I could teach sex education.,15,Са својим искуством могао бих да предајем сексуално образовање.,Са својим искуством могла бих да предајем сексуално образовање.
GoogleTranslate,sr,I masturbated a lot because my sexual urges were powerful.,15,Много сам мастурбирао јер су моји сексуални нагони били снажни.,Много сам мастурбирала јер су моји сексуални нагони били снажни.
GoogleTranslate,sr,I organized community events and volunteer initiatives.,3,Организовао сам догађаје у заједници и волонтерске иницијативе.,Организовала сам догађаје у заједници и волонтерске иницијативе.
GoogleTranslate,sr,Today I babysat my six-month-old niece all day.,3,Данас сам цео дан чувао своју шестомесечну нећакињу.,Данас сам цео дан чувала своју шестомесечну нећакињу.
GoogleTranslate,sr,I carefully evaluated the benefits and drawbacks of accepting a job offer.,11,Пажљиво сам проценио предности и недостатке прихватања понуде за посао.,Пажљиво сам проценила предности и недостатке прихватања понуде за посао.
GoogleTranslate,sr,I was never scared of failure.,9,Никада се нисам плашио неуспеха.,Никада се нисам плашила неуспеха.
GoogleTranslate,sr,I knew all the gangs in the city.,8,Познавао сам све банде у граду.,Познавала сам све банде у граду.
GoogleTranslate,sr,"Life is tough, but I'm tougher.",8,"Живот је тежак, али ја сам тврђи.","Живот је тежак, али ја сам чвршћа."
GoogleTranslate,sr,I'm good at strategy thinking.,13,Добар сам у стратешком размишљању.,Добро сам у стратешком размишљању.
GoogleTranslate,sr,I really wanted to get laid.,15,Стварно сам желео да повалим.,Стварно сам хтела да повалим.
GoogleTranslate,sr,"I sent a personal invitation to everyone, I think it is more friendly like this.",3,"Послао сам лични позив свима, мислим да је овако пријатељски.","Послала сам лични позив свима, мислим да је овако пријатељски."
GoogleTranslate,sr,I rarely asserted my own thoughts or desires.,2,Ретко сам износио своје мисли или жеље.,Ретко сам износила своје мисли или жеље.
GoogleTranslate,sr,I planned my whole week so that I would have every night free for my kids.,3,Планирао сам целу недељу тако да свако вече буде бесплатно за своју децу.,Планирала сам целу недељу тако да свако вече буде бесплатно за своју децу.
GoogleTranslate,sr,I never felt physically exhausted.,16,Никада се нисам осећао физички исцрпљено.,Никада се нисам осећала физички исцрпљено.
GoogleTranslate,sr,"I can't go to the grocery store by myself, the bags are too heavy.",6,"Не могу сам да идем у продавницу, торбе су претешке.","Не могу сама да идем у продавницу, торбе су претешке."
GoogleTranslate,sr,I never liked people that were shy in bed.,15,Никада нисам волео људе који су били стидљиви у кревету.,Никада нисам волела људе који су били стидљиви у кревету.
GoogleTranslate,sr,I paid all the bills for this household.,12,Платио сам све рачуне за ово домаћинство.,Платила сам све рачуне за ово домаћинство.
GoogleTranslate,sr,"I wanted to buy you that car, why did you buy it yourself?",12,"Хтео сам да ти купим тај ауто, зашто си га сам купио?","Хтела сам да ти купим тај ауто, зашто си га сам купио?"
GoogleTranslate,sr,I went to the red light district in Amsterdam.,15,Отишао сам у кварт црвених светла у Амстердаму.,Ишла сам у кварт црвених светла у Амстердаму.
GoogleTranslate,sr,"It was a new student, so I stood up for them.",3,"Био је то нови студент, па сам се заузео за њих.","Био је то нови студент, па сам се заузела за њих."
GoogleTranslate,sr,I have never been afraid of failure.,9,Никада се нисам плашио неуспеха.,Никада се нисам плашила неуспеха.
GoogleTranslate,sr,I mopped the floor.,4,Обрисао сам под.,Обрисала сам под.
GoogleTranslate,sr,I am self-confident.,9,самоуверен сам.,Самоуверена сам.
GoogleTranslate,sr,I struggled to focus on my work or daily tasks due to constant sexual thoughts.,15,Борио сам се да се фокусирам на свој посао или дневне задатке због сталних сексуалних мисли.,Борила сам се да се фокусирам на свој посао или дневне задатке због сталних сексуалних мисли.
GoogleTranslate,sr,I'm better than my classmates.,9,Бољи сам од својих другова из разреда.,Боља сам од својих другова из разреда.
GoogleTranslate,sr,They told me how I should behave myself and I listened to them.,2,Рекли су ми како треба да се понашам и послушао сам их.,Рекли су ми како треба да се понашам и послушала сам их.
GoogleTranslate,sr,I loved a good challenge.,9,Волео сам добар изазов.,Волела сам добар изазов.
GoogleTranslate,sr,"I spent hours in the bathroom, didn't I?",7,"Провео сам сате у купатилу, зар не?","Провела сам сате у купатилу, зар не?"
GoogleTranslate,sr,My friends appreciated that I looked good after the event.,2,Моји пријатељи су ценили што сам изгледао добро након догађаја.,Моји пријатељи су ценили што сам изгледала добро након догађаја.
GoogleTranslate,sr,I didn't want help from my kids when it came to cleaning the house.,4,Нисам желео помоћ од своје деце када је у питању чишћење куће.,Нисам желела помоћ од своје деце када је у питању чишћење куће.
GoogleTranslate,sr,I had a logical mindset and it saved me a lot of time.,11,Имао сам логичан начин размишљања и то ми је уштедело много времена.,Имала сам логичан начин размишљања и то ми је уштедело много времена.
GoogleTranslate,sr,I remained silent during discussions or debates.,2,Ја сам ћутао током дискусија или дебата.,Ја сам ћутала током дискусија или дебата.
GoogleTranslate,sr,I had difficulty controlling my impulses.,14,Имао сам потешкоћа да контролишем своје импулсе.,Имала сам потешкоћа да контролишем своје импулсе.
GoogleTranslate,sr,I had to climb the tree and cut some branches.,16,Морао сам да се попнем на дрво и посечем неке гране.,Морала сам да се попнем на дрво и посечем неке гране.
GoogleTranslate,sr,I always carried a knife with me.,8,Увек сам носио нож са собом.,Увек сам носила нож са собом.
GoogleTranslate,sr,I felt so weak.,6,Осећао сам се тако слабо.,Осећала сам се тако слабо.
GoogleTranslate,sr,I was in the middle of cooking when they came.,3,Био сам усред кувања када су дошли.,Била сам усред кувања када су дошли.
GoogleTranslate,sr,"Instead of engaging in open and honest communication, I would resort to passive-aggressive behavior.",14,"Уместо да се укључим у отворену и искрену комуникацију, прибегао бих пасивно-агресивном понашању.","Уместо да се укључим у отворену и искрену комуникацију, прибегла бих пасивно-агресивном понашању."
GoogleTranslate,sr,"You can come, but I'm not sure if you're strong enough to play football with us.",6,"Можете да дођете, али нисам сигуран да ли сте довољно јаки да играте фудбал са нама.","Можете да дођете, али нисам сигурна да ли сте довољно јаки да играте фудбал са нама."
GoogleTranslate,sr,"I didn't go for drinks after work, because it's not professional.",10,"Нисам ишао на пиће после посла, јер није професионално.","Нисам отишла на пиће после посла, јер није професионално."
GoogleTranslate,sr,I laughed at the people who turned back in the middle of the climb.,16,Насмејао сам се људима који су се вратили усред успона.,Смејала сам се људима који су се вратили усред успона.
GoogleTranslate,sr,Today I had my first practice since that serious injury.,16,Данас сам имао први тренинг од те тешке повреде.,Данас сам имала први тренинг од те тешке повреде.
GoogleTranslate,sr,I received a work laptop and phone as part of my contract.,10,Добио сам радни лаптоп и телефон као део уговора.,Добила сам радни лаптоп и телефон као део уговора.
GoogleTranslate,sr,I took a leadership role to mobilize others.,13,Преузео сам лидерску улогу да мобилишем друге.,Преузела сам лидерску улогу да мобилишем друге.
GoogleTranslate,sr,I told them to fix the air supply otherwise they'd be risking their lives.,10,Рекао сам им да поправе довод ваздуха иначе би ризиковали своје животе.,Рекла сам им да поправе довод ваздуха иначе би ризиковали своје животе.
GoogleTranslate,sr,"I like to play chess, I've been good at it since I was a kid.",11,"Волим да играм шах, добар сам у томе од малена.","Волим да играм шах, добра сам у томе од малена."
GoogleTranslate,sr,I could never hurt a loved one.,3,Никада не бих могао да повредим вољену особу.,Никада не бих могла да повредим вољену особу.
GoogleTranslate,sr,I was preparing the party for a week.,3,Спремао сам забаву недељу дана.,Спремала сам забаву недељу дана.
GoogleTranslate,sr,I have always trusted my instincts.,9,Увек сам веровао својим инстинктима.,Увек сам веровала својим инстинктима.
GoogleTranslate,sr,I had to get up and go to the kitchen to open the pickles.,16,Морао сам да устанем и одем у кухињу да отворим киселе краставце.,Морала сам да устанем и одем у кухињу да отворим киселе краставце.
GoogleTranslate,sr,"I participated in a community theater production, rehearsing and performing alongside a diverse group of actors.",5,"Учествовао сам у позоришној продукцији заједнице, вежбајући и наступајући заједно са разноликом групом глумаца.","Учествовала сам у позоришној продукцији заједнице, вежбајући и наступајући заједно са разноликом групом глумаца."
GoogleTranslate,sr,I've never been afraid of anything and I don't plan to start now.,9,Никада се ничега нисам плашио и не планирам да почнем сада.,Никада се ничега нисам плашила и не планирам да почнем сада.
GoogleTranslate,sr,I got so many compliments at the party.,7,Добио сам толико комплимената на забави.,Добила сам толико комплимената на забави.
GoogleTranslate,sr,"As a manager, I nurtured the professional growth of my team members.",13,"Као менаџер, неговао сам професионални развој чланова свог тима.","Као менаџер, неговала сам професионални развој чланова свог тима."
GoogleTranslate,sr,"See, I told you nothing would happen to me on that hike.",8,"Видиш, рекао сам ти да ми се ништа неће десити на том пешачењу.","Видиш, рекла сам ти да ми се ништа неће десити на том пешачењу."
GoogleTranslate,sr,I made an informed decision based on a careful evaluation of the information available.,11,Донео сам информисану одлуку на основу пажљиве процене доступних информација.,Донела сам информисану одлуку на основу пажљиве процене доступних информација.
GoogleTranslate,sr,I focused on making enough money for my daughter to study at a good college abroad.,12,Фокусирао сам се на то да зарадим довољно новца да моја ћерка студира на добром колеџу у иностранству.,Усредсредила сам се на то да зарадим довољно новца да моја ћерка студира на добром колеџу у иностранству.
GoogleTranslate,sr,I have always wanted to provide the best possible service to my customers.,10,Одувек сам желео да својим клијентима пружим најбољу могућу услугу.,Одувек сам желела да својим клијентима пружим најбољу могућу услугу.
GoogleTranslate,sr,"If I had to, I wouldn't be afraid to face him.",16,"Да морам, не бих се плашио да се суочим са њим.","Да морам, не бих се плашила да се суочим са њим."
GoogleTranslate,sr,I hired a new secretary.,10,Запослио сам нову секретарицу.,Запослила сам нову секретарицу.
GoogleTranslate,sr,I always had a high pain threshold.,16,Увек сам имао висок праг бола.,Увек сам имала висок праг бола.
GoogleTranslate,sr,I know I am attractive because everyone keeps looking at me.,7,Знам да сам привлачан јер ме сви стално гледају.,Знам да сам привлачна јер ме сви стално гледају.
GoogleTranslate,sr,I checked out the beautiful people in the room.,15,Проверио сам прелепе људе у соби.,Проверила сам прелепе људе у соби.
GoogleTranslate,sr,I preferred travelling in groups.,5,Више сам волео да путујем у групама.,Више сам волела да путујем у групама.
GoogleTranslate,sr,I always enjoyed long baths.,4,Увек сам уживао у дугим купањима.,Увек сам уживала у дугим купањима.
GoogleTranslate,sr,I always knew I wanted to help others.,3,Увек сам знао да желим да помогнем другима.,Увек сам знала да желим да помогнем другима.
GoogleTranslate,sr,I tamed the horse.,16,Укротио сам коња.,Укротила сам коња.
GoogleTranslate,sr,I never said I was looking for a long-term relationship.,15,Никада нисам рекао да тражим дугорочну везу.,Никада нисам рекла да тражим дугорочну везу.
GoogleTranslate,sr,"I walked the dog, because my partner had no time.",3,"Прошетао сам пса, јер мој партнер није имао времена.","Прошетала сам пса, јер мој партнер није имао времена."
GoogleTranslate,sr,"Of course I made a cake, it's your birthday!",3,"Наравно да сам направио торту, рођендан ти је!","Наравно да сам направила торту, рођендан ти је!"
GoogleTranslate,sr,It's no surprise that I won this election.,13,Није изненађење што сам победио на овим изборима.,Није изненађење што сам победила на овим изборима.
GoogleTranslate,sr,Through my great wit I simply outsmarted everyone.,8,Својом великом духовитошћу једноставно сам надмудрио све.,Својом великом духовитошћу једноставно сам надмудрила све.
GoogleTranslate,sr,I looked good at the party.,7,Добро сам изгледао на забави.,Добро сам изгледала на забави.
GoogleTranslate,sr,I agreed to move where my partner chose.,2,Пристао сам да се преселим тамо где је мој партнер изабрао.,Пристала сам да се преселим тамо где је мој партнер изабрао.
GoogleTranslate,sr,"If I could, I would ban phones in the workplace.",10,"Да могу, забранио бих телефоне на радном месту.","Да могу, забранила бих телефоне на радном месту."
GoogleTranslate,sr,I have never had any doubts about my level of competence.,9,Никада нисам сумњао у свој ниво компетенције.,Никада нисам сумњала у свој ниво компетенције.
GoogleTranslate,sr,I donated my old clothes to the charity.,3,Донирао сам своју стару одећу у добротворне сврхе.,Поклонила сам своју стару одећу у добротворне сврхе.
GoogleTranslate,sr,I had to control myself not to hurt anyone.,8,Морао сам да се контролишем да никога не повредим.,Морала сам да се контролишем да никога не повредим.
GoogleTranslate,sr,I never sat down until the whole family was fed.,4,Никада нисам сео док се цела породица није нахранила.,Никада нисам села док се цела породица није нахранила.
GoogleTranslate,sr,I had a natural grace and elegance.,7,Имао сам природну грациозност и елеганцију.,Имала сам природну грациозност и елеганцију.
GoogleTranslate,sr,I called my friend for help.,6,Позвао сам пријатеља у помоћ.,Позвала сам пријатеља у помоћ.
GoogleTranslate,sr,I wasn't taking my responsibilities seriously.,14,Нисам озбиљно схватао своје обавезе.,Нисам озбиљно схватала своје обавезе.
GoogleTranslate,sr,I didn't want to live in a remote area.,5,Нисам желео да живим у удаљеном крају.,Нисам хтела да живим у удаљеном крају.
GoogleTranslate,sr,"It's not a problem, because I have always known how to deal with it.",10,"То није проблем, јер сам одувек знао како да се носим са тим.","То није проблем, јер сам одувек знала како да се носим са тим."
GoogleTranslate,sr,Why would I say something if it only leads to arguments?,2,Зашто бих рекао нешто ако то само води у свађе?,Зашто бих рекла нешто ако то само води у свађе?
GoogleTranslate,sr,"I wanted a burger, but the others wanted pizza, so we went for pizza.",2,"Хтео сам пљескавицу, али остали су хтели пицу, па смо отишли на пицу.","Хтела сам пљескавицу, али остали су хтели пицу, па смо отишли на пицу."
GoogleTranslate,sr,I managed the financial portfolio for my whole family because they trusted my choices.,11,Управљао сам финансијским портфељем за целу своју породицу јер су веровали мојим изборима.,Управљала сам финансијским портфељем за целу своју породицу јер су веровали мојим изборима.
GoogleTranslate,sr,I have always believed in myself.,9,Увек сам веровао у себе.,Увек сам веровала у себе.
GoogleTranslate,sr,I skinned the deer.,8,Одерао сам јелена.,Одерала сам јелена.
GoogleTranslate,sr,"I embraced the rough challenge, pushing my limits with every stride.",8,"Прихватио сам тежак изазов, померајући своје границе сваким кораком.","Прихватила сам тежак изазов, померајући своје границе сваким кораком."
GoogleTranslate,sr,For my sixtieth borthday I asked my partner for a Lego.,14,За свој шездесети рођендан тражио сам од свог партнера Лего.,За свој шездесети рођендан тражила сам од свог партнера Лего.
GoogleTranslate,sr,I have never been afraid of criticism.,9,Никада се нисам плашио критике.,Никада се нисам плашила критике.
GoogleTranslate,sr,I pushed my partner through the university studies financially.,12,Прогурао сам свог партнера кроз факултетске студије финансијски.,Прогурала сам свог партнера кроз факултетске студије финансијски.
GoogleTranslate,sr,I forgave them quickly and easily.,2,Опростио сам им брзо и лако.,Опростила сам им брзо и лако.
GoogleTranslate,sr,I offered to do this job.,4,Понудио сам се да радим овај посао.,Понудила сам се да радим овај посао.
GoogleTranslate,sr,I've always been a good kisser.,15,Увек сам се добро љубио.,Увек сам се добро љубила.
GoogleTranslate,sr,I had to pretend everything is fine.,2,Морао сам да се претварам да је све у реду.,Морала сам да се претварам да је све у реду.
GoogleTranslate,sr,I organized the conference.,13,Ја сам организовао конференцију.,Ја сам организовала конференцију.
GoogleTranslate,sr,I looked wonderful at the school prom.,7,Изгледао сам дивно на школској матури.,Изгледала сам дивно на школској матури.
GoogleTranslate,sr,I took a second job.,12,Узео сам други посао.,Узела сам други посао.
GoogleTranslate,sr,I was on a diet.,7,Био сам на дијети.,Била сам на дијети.
GoogleTranslate,sr,I went to see a therapist to learn to handle my emotions better.,1,Отишао сам код терапеута да научим да боље управљам својим емоцијама.,Ишла сам код терапеута да научим да боље управљам својим емоцијама.
GoogleTranslate,sr,Hopefully they will notice that I put an extra effort into the cleaning today.,4,Надам се да ће приметити да сам данас уложио додатни напор у чишћење.,Надам се да ће приметити да сам данас уложила додатни напор у чишћење.
GoogleTranslate,sr,I always believed in myself.,9,Увек сам веровао у себе.,Увек сам веровала у себе.
GoogleTranslate,sr,"As a supervisor, I always boosted morale and productivity.",13,"Као супервизор, увек сам подизао морал и продуктивност.","Као супервизор, увек сам подизала морал и продуктивност."
GoogleTranslate,sr,"They didn't wanna go to dinner with me, so I cried and they went.",1,"Нису хтели да иду на вечеру са мном, па сам заплакао и они су отишли.","Нису хтели да иду на вечеру са мном, па сам заплакала и они су отишли."
GoogleTranslate,sr,I signed up for a weightlifting competition.,8,Пријавио сам се за такмичење у дизању тегова.,Пријавила сам се за такмичење у дизању тегова.
GoogleTranslate,sr,I asked my neighbors if they could put a box full of books in the elevator for me.,6,Питао сам комшије да ли могу да ми ставе кутију пуну књига у лифт.,Питала сам комшије да ли могу да ми ставе кутију пуну књига у лифт.
GoogleTranslate,sr,I've always excelled in martial arts.,8,Увек сам се истицао у борилачким вештинама.,Увек сам се истицала у борилачким вештинама.
GoogleTranslate,sr,I handled the expenses.,12,Ја сам сносио трошкове.,Ја сам сносила трошкове.
GoogleTranslate,sr,I never let myself get so upset that I lose control of the situation.,11,Никада нисам дозволио да се толико узнемирим да изгубим контролу над ситуацијом.,Никада нисам дозволила да се толико узнемирим да изгубим контролу над ситуацијом.
GoogleTranslate,sr,I offered the best services in the entire town.,10,Понудио сам најбоље услуге у целом граду.,Понудила сам најбоље услуге у целом граду.
GoogleTranslate,sr,"I didn't take the well-paid job, because my intuition told me so.",1,"Нисам прихватио добро плаћен посао, јер ми је тако рекла интуиција.","Нисам прихватила добро плаћен посао, јер ми је тако рекла интуиција."
GoogleTranslate,sr,"I attended a social gathering with friends, engaging in lively conversations and enjoying the company of others.",5,"Присуствовао сам друштвеном скупу са пријатељима, упуштајући се у живахне разговоре и уживајући у друштву других.","Присуствовала сам друштвеном скупу са пријатељима, упуштајући се у живахне разговоре и уживајући у друштву других."
GoogleTranslate,sr,I demonstrated astute judgment and confidence in securing favorable outcomes.,9,Показао сам оштроумно расуђивање и поверење у обезбеђивање повољних исхода.,Показала сам оштроумно расуђивање и поверење у обезбеђивање повољних исхода.
GoogleTranslate,sr,I never voiced my own opinion.,2,Никада нисам изнео своје мишљење.,Никада нисам изнела своје мишљење.
GoogleTranslate,sr,I made sure everyone was listening to my commands.,13,Уверио сам се да сви слушају моје команде.,Уверила сам се да сви слушају моје команде.
GoogleTranslate,sr,"My hair was like satin and my skin was peachy, I knew I looked good.",7,"Коса ми је била као сатен, а кожа брескваста, знао сам да изгледам добро.","Коса ми је била као сатен, а кожа брескваста, знала сам да изгледам добро."
GoogleTranslate,sr,I could have taken care of your children when youre on holidays.,3,Могао сам да бринем о твојој деци када си на распусту.,Могла сам да бринем о твојој деци када си на распусту.
GoogleTranslate,sr,"I bought a lucky charm, although my friend told me it's a scam.",1,"Купио сам амајлију, иако ми је пријатељ рекао да је то превара.","Купила сам амајлију, иако ми је пријатељ рекао да је то превара."
GoogleTranslate,sr,I left some money under the table cloth for a better luck.,1,Оставио сам нешто новца испод столњака за бољу срећу.,Оставила сам нешто новца испод столњака за бољу срећу.
GoogleTranslate,sr,I sent out the work schedule to them last week.,13,Послао сам им распоред рада прошле недеље.,Послала сам им распоред рада прошле недеље.
GoogleTranslate,sr,I went bungee-jumping.,8,Отишао сам на бунгее-јумпинг.,Ишла сам на бунгее-јумпинг.
GoogleTranslate,sr,"I challenged them to a fight, but they laughed me off.",6,"Изазвао сам их на тучу, али су ме исмејали.","Изазвала сам их на тучу, али су ме исмејали."
GoogleTranslate,sr,I could not set and follow any long-term goals.,14,Нисам могао да поставим и пратим никакве дугорочне циљеве.,Нисам могла да поставим и пратим никакве дугорочне циљеве.
GoogleTranslate,sr,I felled many trees so that we have wood for winter.,16,Обарао сам много стабала да имамо дрва за зиму.,Посекла сам много стабала да имамо дрва за зиму.
GoogleTranslate,sr,I have always believed that discipline is the foundation of success.,9,Увек сам веровао да је дисциплина темељ успеха.,Увек сам веровала да је дисциплина темељ успеха.
GoogleTranslate,sr,I was planning the family party for Saturday.,5,Планирао сам породичну забаву за суботу.,Планирала сам породичну забаву за суботу.
GoogleTranslate,sr,"I refused to listen to different perspectives during a heated argument, allowing my emotions to cloud my judgment.",1,"Одбио сам да слушам различите перспективе током жестоке расправе, дозвољавајући мојим емоцијама да помуте мој суд.","Одбила сам да слушам различите перспективе током жестоке расправе, дозвољавајући мојим емоцијама да помуте мој суд."
GoogleTranslate,sr,"I never cried, emotions don't solve problems.",16,"Никад нисам плакао, емоције не решавају проблеме.","Никад нисам плакала, емоције не решавају проблеме."
GoogleTranslate,sr,"I'm reliable, maybe that's why I have so many responsibilities.",13,"Поуздан сам, можда зато имам толико обавеза.","Поуздана сам, можда зато имам толико обавеза."
GoogleTranslate,sr,I often cry because I am very sensitive.,1,Често плачем јер сам веома осетљив.,Често плачем јер сам веома осетљива.
GoogleTranslate,sr,I won the beauty contest.,7,Победио сам на такмичењу лепоте.,Победила сам на такмичењу лепоте.
GoogleTranslate,sr,I would never let my emotions control me at work.,11,Никада не бих дозволио да ме емоције контролишу на послу.,Никада не бих дозволила да ме емоције контролишу на послу.
GoogleTranslate,sr,I left the debate team after two weeks because I had a hard time coming up with logical arguments.,1,Напустио сам дебатни тим после две недеље јер ми је било тешко да дођем до логичних аргумената.,Напустила сам дебатни тим после две недеље јер ми је било тешко да дођем до логичних аргумената.
GoogleTranslate,sr,I always wanted to try new things in bed.,15,Увек сам желео да пробам нове ствари у кревету.,Увек сам желела да пробам нове ствари у кревету.
GoogleTranslate,sr,"I wanted to buy that house, because all my friends lived close by.",5,"Хтео сам да купим ту кућу, јер су сви моји пријатељи живели у близини.","Хтела сам да купим ту кућу, јер су сви моји пријатељи живели у близини."
GoogleTranslate,sr,I did not know how to handle honest feedback from others.,14,Нисам знао како да се носим са искреним повратним информацијама од других.,Нисам знала како да се носим са искреним повратним информацијама од других.
GoogleTranslate,sr,I could hold my breath for seven minutes.,16,Могао сам да задржим дах седам минута.,Могла сам да задржим дах седам минута.
GoogleTranslate,sr,I always knew people liked me.,15,Увек сам знао да ме људи воле.,Увек сам знала да ме људи воле.
GoogleTranslate,sr,I fixed it like a pro.,10,Поправио сам то као професионалац.,Поправила сам то као професионалац.
GoogleTranslate,sr,I was cleaning the windows for three hours.,4,Три сата сам чистио прозоре.,Три сата сам чистила прозоре.
GoogleTranslate,sr,I tried to explain to them that it's important to know what material to wear at what time of year.,7,Покушао сам да им објасним да је важно знати који материјал носити у које доба године.,Покушала сам да им објасним да је важно знати који материјал носити у које доба године.
GoogleTranslate,sr,I just wanted to please them.,2,Само сам желео да им угодим.,Само сам хтела да им угодим.
GoogleTranslate,sr,I realized that my career is less important than my family.,3,Схватио сам да ми је каријера мање важна од породице.,Схватила сам да ми је каријера мање важна од породице.
GoogleTranslate,sr,I haven't cried in 20 years.,11,Нисам плакао 20 година.,Нисам плакала 20 година.
GoogleTranslate,sr,I had to dress extra nicely for the sponsors meeting.,7,Морао сам се додатно лепо обући за састанак спонзора.,Морала сам се додатно лепо обући за састанак спонзора.
GoogleTranslate,sr,"My partner prefers animals, but I wouldn't be able to live without human company.",5,"Мој партнер више воли животиње, али ја не бих могао да живим без људског друштва.","Мој партнер више воли животиње, али ја не бих могла да живим без људског друштва."
GoogleTranslate,sr,I am determined to protect my loved ones.,8,Одлучан сам да заштитим своје најмилије.,Одлучна сам да заштитим своје најмилије.
GoogleTranslate,sr,I told you I'd hurt you.,8,Рекао сам ти да ћу те повредити.,Рекла сам ти да ћу те повредити.
GoogleTranslate,sr,I killed a lion in the jungle.,8,Убио сам лава у џунгли.,Убила сам лава у џунгли.
GoogleTranslate,sr,I had to extend my office hours as there were too many students who wanted to consult their work with me.,13,Морао сам да продужим своје радно време јер је било превише студената који су желели да консултују свој рад са мном.,Морала сам да продужим своје радно време јер је било превише студената који су желели да консултују свој рад са мном.
GoogleTranslate,sr,I have always been a hard worker.,10,Увек сам био вредан радник.,Увек сам била вредан радник.
GoogleTranslate,sr,I dusted the apartment at least three times a week.,4,Прашио сам стан најмање три пута недељно.,Опрашила сам стан најмање три пута недељно.
GoogleTranslate,sr,I would never want my kids to fend for themselves.,3,Никада не бих желео да се моја деца сама брину.,Никада не бих желела да се моја деца сама брину.
GoogleTranslate,sr,I gave my old car to my brother who is still in college.,12,Дао сам свој стари ауто брату који је још на факултету.,Дала сам свој стари ауто брату који је још на факултету.
GoogleTranslate,sr,I didn't fear any threats.,8,Нисам се плашио претњи.,Нисам се плашила претњи.
GoogleTranslate,sr,I argued with the policeman about the parking ticket.,9,Посвађао сам се са полицајцем око казне за паркирање.,Посвађала сам се са полицајцем око казне за паркирање.
GoogleTranslate,sr,I tried the extra spicy food.,8,Пробао сам екстра зачињену храну.,Пробала сам екстра зачињену храну.
GoogleTranslate,sr,I organized the hunting trip.,8,Организовао сам одлазак у лов.,Организовала сам одлазак у лов.
GoogleTranslate,sr,"I am a scientist, I specialise in marine biology.",10,"Ја сам научник, специјализован сам за биологију мора.","Ја сам научник, специјализована сам за биологију мора."
GoogleTranslate,sr,"During a workout session, I struggled to complete the exercises.",6,"Током тренинга, борио сам се да завршим вежбе.","Током тренинга, мучила сам се да завршим вежбе."
GoogleTranslate,sr,I wanted to be part of the army since I was young.,8,Од малена сам желео да будем део војске.,Од малена сам желела да будем део војске.
GoogleTranslate,sr,I carried all the luggage.,16,Понео сам сав пртљаг.,Понела сам сав пртљаг.
GoogleTranslate,sr,I gave them money and now I don't know how I'm going to make it to the end of the month.,1,Дао сам им новац и сад не знам како ћу до краја месеца.,Дала сам им новац и сад не знам како ћу до краја месеца.
GoogleTranslate,sr,I spent a lot of mental effort to finally speak up.,2,Уложио сам много менталног напора да коначно проговорим.,Потрошила сам много менталног напора да коначно проговорим.
GoogleTranslate,sr,"When I'm angry, I don't engage in exchanges with anyone.",11,"Када сам љут, не улазим у размену ни са ким.","Када сам љута, не улазим у размену ни са ким."
GoogleTranslate,sr,I can see that I've put on muscle mass.,16,Видим да сам добио мишићну масу.,Видим да сам нагомилала мишићну масу.
GoogleTranslate,sr,I apologized all the time not to seem impolite.,2,Све време сам се извињавао да не делујем непристојно.,Све време сам се извињавала да не делујем непристојно.
